ImageNumber	ObjectNumber	Metadata_Col	Metadata_Field	Metadata_Row	Metadata_Series	Metadata_T	Metadata_Well	Metadata_Z	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Compactness
1	1	1	1	A	0	0	A1	0	6754	1118	106	1.34008760599488
1	2	1	1	A	0	0	A1	0	9673	339	121	1.41714333899851
1	3	1	1	A	0	0	A1	0	4566	471	121	1.67009398246201
1	4	1	1	A	0	0	A1	0	11775	1305	108	1.97574402936506
1	5	1	1	A	0	0	A1	0	6074	1687	120	1.64666300260883
1	6	1	1	A	0	0	A1	0	13044	246	170	2.32474059866779
1	7	1	1	A	0	0	A1	0	18378	1478	60	1.35614150322927
1	8	1	1	A	0	0	A1	0	9930	687	111	1.82743225276461
1	9	1	1	A	0	0	A1	0	4433	1903	173	4.24630800263666
1	10	1	1	A	0	0	A1	0	7858	1155	147	2.10734204402848
1	11	1	1	A	0	0	A1	0	9470	451	207	1.60453930670205
1	12	1	1	A	0	0	A1	0	11430	1403	166	1.41643343061409
1	13	1	1	A	0	0	A1	0	10495	1659	167	1.47365673586484
1	14	1	1	A	0	0	A1	0	7156	1268	195	1.73667326524653
1	15	1	1	A	0	0	A1	0	14816	1031	263	1.56185580259068
1	16	1	1	A	0	0	A1	0	2871	893	202	5.93673001989456
1	17	1	1	A	0	0	A1	0	6309	1521	259	2.52853955872917
1	18	1	1	A	0	0	A1	0	9598	1655	251	1.89836459876767
1	19	1	1	A	0	0	A1	0	8266	1856	226	2.84608251464054
1	20	1	1	A	0	0	A1	0	17962	1338	289	1.37666893584789
1	21	1	1	A	0	0	A1	0	11668	1097	288	1.45730513274979
1	22	1	1	A	0	0	A1	0	7013	470	281	1.402381695733
1	23	1	1	A	0	0	A1	0	1298	586	257	3.27173254400949
1	24	1	1	A	0	0	A1	0	16786	287	280	1.50984026881828
1	25	1	1	A	0	0	A1	0	5934	517	247	1.53813484849881
1	26	1	1	A	0	0	A1	0	9575	1412	260	1.78957153464327
1	27	1	1	A	0	0	A1	0	13097	129	343	1.65015895115925
1	28	1	1	A	0	0	A1	0	14627	1833	335	1.54917143982681
1	29	1	1	A	0	0	A1	0	6366	1672	369	2.53595291562947
1	30	1	1	A	0	0	A1	0	5683	353	349	1.80329218509982
